Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
test1,Success,1,0,2016-05-09 10:23:53 +0100,2016-05-09 10:23:53 +0100,0:00:00
Master,Success,1,0,2016-05-09 10:23:53 +0100,2016-05-09 10:23:53 +0100,0:00:00
